#index 平小韻 上小韻 去小韻 入小韻 重上歸于去 file_name 增補小韻
1 1 670 1237 1920 FALSE tung.m4a 
2 2 671 1238 1897 FALSE thung.m4a 
3 3 672 1239 1898 TRUE dung.m4a 
4 4 673 1240 1899 FALSE lung.m4a 
5 5 ? ? ? FALSE lyung.m4a 4
6 6 2266 ? 1891 TRUE bung.m4a 
7 7 675 1246 1892 FALSE mung.m4a 
8 8 ? 1234 1895 FALSE tshung.m4a 
9 9 676 1235 ? FALSE tzung.m4a 
10 10 691 1236 1902 FALSE tzyung.m4a 1918
11 11 ? ? 1896 TRUE dzung.m4a 
12 12 ? 1253 ? TRUE dzyung.m4a 
441 428 2284 1672  FALSE jia.m4a 
442 429 1029 1673  TRUE hhwa.m4a 
443 430 ? 1674  FALSE hwa.m4a 
444 431 1030 1675  FALSE khwa.m4a 
445 432 1031 1676  FALSE kwa.m4a 
446 433 ? ?  FALSE qwa.m4a 
447 434 1035 1678  FALSE tcie.m4a 
448 435 1039 1682  FALSE shie.m4a 
449 436 1037 1679  FALSE sie.m4a 
450 437 1041 ?  FALSE tchie.m4a 
451 438 1044 1680  FALSE tzie.m4a 
452 439 ? 1681  TRUE szie.m4a 
453 440 1036 1683  TRUE szhie.m4a 
454 441 1042 1684  FALSE jie.m4a 
455 442 ? ?  TRUE gie.m4a 
456 443 ? ?  FALSE tie.m4a 
457 444 ? ?  FALSE hyue.m4a 
458 445 ? ?  TRUE gyue.m4a 
459 446 1045 1686 2077 FALSE jiang.m4a 2078
460 447 1063 1687 ? FALSE fang.m4a 
461 448 ? ? 2082 TRUE fvang.m4a 
462 449 1064 1688 ? FALSE vang.m4a 
463 450 1052 1689 2083 FALSE siang.m4a 
464 451 1068 1697 2086 FALSE tshiang.m4a 
465 452 1048 1694 2088 FALSE tziang.m4a 
466 453 1047 ? ? TRUE sziang.m4a 
467 454 ? 1699 2087 TRUE dziang.m4a 
468 455 1061 1691 2091 FALSE shiang.m4a 
469 456 1054 1692 2096 FALSE tchiang.m4a 1731
470 457 1055 1693 2094 FALSE tciang.m4a 2285
471 458 1062 1690 2092 TRUE szhiang.m4a 2097
472 459 1060 1700 2098 FALSE zhiang.m4a 
473 460 ? ? ? FALSE niang.m4a 
474 461 1056 1734 2093 FALSE shwang.m4a 
475 462 1053 1701 2126 FALSE tchwang.m4a 1731
476 462 1053 1701 2126 FALSE tchwang.m4a 1736
477 462 1053 1701 2126 FALSE tchwang.m4a 2293
478 463 ? 1695 2127 FALSE tcwang.m4a 1732
479 464 ? 1698 2128 TRUE drwang.m4a 1733
480 465 1059 1702 2095 TRUE driang.m4a 
481 466 1049 1703 2099 FALSE liang.m4a 
482 467 1057 1704 2081 FALSE hiang.m4a 497
483 468 ? ? 2100 FALSE khiang.m4a 
484 469 1058 1729 2103 FALSE kiang.m4a 1088
485 470 1050 1705 2104 TRUE giang.m4a 
486 471 1046 1706 2079 FALSE qiang.m4a 2080
487 472 1066 1708 ? FALSE wang.m4a 
488 473 1069 1696 ? TRUE gwang.m4a 
489 474 1086 1723 2122 FALSE khwang.m4a 
490 475 1070 1711 2116 TRUE dang.m4a 
491 476 1071 1713 ? FALSE tang.m4a 
492 477 1072 1712 2111 FALSE thang.m4a 
493 478 1091 1714 2112 FALSE lang.m4a 
494 479 1073 1727 2113 FALSE nang.m4a 
495 480 ? 1726 2117 FALSE phang.m4a 1735
496 481 1089 1715 2115 TRUE bang.m4a 
497 482 1075 1728 2118 FALSE mang.m4a 
498 483 1076 1716 2084 FALSE sang.m4a 
499 484 1077 ? 2085 FALSE tshang.m4a 
500 485 1078 1718 2089 FALSE tzang.m4a 
501 486 1079 1717 2090 TRUE dzang.m4a 
502 487 1081 1720 2102 FALSE khang.m4a 
503 488 1083 ? 2106 FALSE kang.m4a 
504 489 1084 1722 2125 FALSE ngang.m4a 
505 490 1080 1719 2119 TRUE hhang.m4a 
506 491 1065 ? 2107 FALSE qwang.m4a 
507 492 1067 1709 2108 FALSE hwang.m4a 
508 493 1087 1710 2123 FALSE kwang.m4a 1725
509 494 1085 ? 2109 TRUE hhwang.m4a 
510 495 1074 1724 2114 FALSE pang.m4a 
511 496 1090 1730 2121 TRUE hhiang.m4a 
512 498 1092 1744 2139 FALSE keng.m4a 1782
513 499 1125 ? 2138 FALSE kheng.m4a 
514 500 1096 1748 2129 FALSE meng.m4a 2192
515 501 ? ? 2136 FALSE heng.m4a 2137
516 502 1093 1745 2175 TRUE hhing.m4a 537
517 502 1093 1745 2175 TRUE hhing.m4a 1106
518 502 1093 1745 2175 TRUE hhing.m4a 1775
